----------------------------------------------------------------- CORRECT -----------------------------------------------------------------
               label                   before                    after                  partial                    abses                       ID
              '13.0'                 '13,0\n'                   '13.0'                        1                      1.0                   264984
              '45.4'                 'Y5,4\n'                   '45.4'                        1                      1.0                   264985
              '-6.0'                '- 6,0\n'                   '-6.0'                        1                      1.0                   264986
                 '7'                    '7\n'                      '7'                        1                      1.0                   264988
                '10'                   '10\n'                     '10'                        1                      1.0                   264989
                 '1'                    '/\n'                      '1'                        1                      1.0                   264993
                 '9'                    '9\n'                      '9'                        1                      1.0                   264994
                 'x'                    'x\n'                      'x'                        1                        0                   265003
                 'x'                    'X\n'                      'x'                        1                        0                   265007
              '10.0'                '+10,0\n'                   '10.0'                        1                      1.0                   265216
                 '7'                    '7\n'                      '7'                        1                      1.0                   265220
                '10'                   '10\n'                     '10'                        1                      1.0                   265221
              '15.0'                '+15,0\n'                   '15.0'                        1                      1.0                   265224
                 '7'                    '7\n'                      '7'                        1                      1.0                   265228
                '10'                   '10\n'                     '10'                        1                      1.0                   265231
              '19.3'                 '19.3\n'                   '19.3'                        1                      1.0                   265232
              '-2.4'                  '-24\n'                   '-2.4'                        1                      1.0                   265234
                 '7'                    '7\n'                      '7'                        1                      1.0                   265236
                '10'                   '10\n'                     '10'                        1                      1.0                   265237
                '10'                   '10\n'                     '10'                        1                      1.0                   265239
                '10'                   '10\n'                     '10'                        1                      1.0                   265245
                 '6'                    '6\n'                      '6'                        1                      1.0                   265249
                 'x'                    'x\n'                      'x'                        1                        0                   265251
                 'x'                    'x\n'                      'x'                        1                        0                   265255
                 'x'                    'x\n'                      'x'                        1                        0                   265259
             '738.1'                '738.1\n'                  '738.1'                        1                      1.0                   265473
                '10'                   '10\n'                     '10'                        1                      1.0                   265477
                '10'                   '10\n'                     '10'                        1                      1.0                   265479
                 '0'                    '0\n'                      '0'                        1                        0                   265484
             '-11.0'                 '-llo\n'                  '-11.0'                        1                      1.0                   265498
                 '5'                    '5\n'                      '5'                        1                      1.0                   265502
                 '2'                    '2\n'                      '2'                        1                      1.0                   265504
                 '3'                    '3\n'                      '3'                        1                      1.0                   265505
                 '3'                    '3\n'                      '3'                        1                      1.0                   265509
                 'x'                    'x\n'                      'x'                        1                        0                   265519
              '16.0'                  '160\n'                   '16.0'                        1                      1.0                   265728
             '742.8'                '742.8\n'                  '742.8'                        1                      1.0                   265729
              '12.0'                 '12,0\n'                   '12.0'                        1                      1.0                   265984
             '741.0'                '741.0\n'                  '741.0'                        1                      1.0                   265985
                '10'                   '10\n'                     '10'                        1                      1.0                   265991
              '12.0'              '+\n12,0\n'                   '12.0'                        1                      1.0                   265992
                 '7'                    '7\n'                      '7'                        1                      1.0                   265996
                '10'                   '10\n'                     '10'                        1                      1.0                   265999
              '46.0'                 '46.0\n'                   '46.0'                        1                      1.0                   266001
                 '7'                    '7\n'                      '7'                        1                      1.0                   266004
              '19.5'                '19.51\n'                   '19.5'                        1                      1.0                   266008
                '10'                   '10\n'                     '10'                        1                      1.0                   266013
                 'x'                    'x\n'                      'x'                        1                        0                   266019
                 '7'                    '7\n'                      '7'                        1                      1.0                   266022
                 'x'                    'x\n'                      'x'                        1                        0                   266023
                 '4'                    '4\n'                      '4'                        1                      1.0                   266024
                 '8'                    '8\n'                      '8'                        1                      1.0                   266025
                 'x'                    'x\n'                      'x'                        1                        0                   266027
                 '3'                    '3\n'                      '3'                        1                      1.0                   266028
                 'x'                 'x\nㅅ\n'                      'x'                        1                        0                   266031
              '14.0'               '+\n140\n'                   '14.0'                        1                      1.0                   266240
             '748.0'                '748,0\n'                  '748.0'                        1                      1.0                   266241
                 '7'                    '7\n'                      '7'                        1                      1.0                   266244
                '10'                   '10\n'                     '10'                        1                      1.0                   266247
              '13.0'                 '13,0\n'                   '13.0'                        1                      1.0                   266248
              '49.0'                 '49,0\n'                   '49.0'                        1                      1.0                   266249
                 '7'                    'Z\n'                      '7'                        1                      1.0                   266252
                '10'                   '10\n'                     '10'                        1                      1.0                   266253
              '16.7'               '+ 16,7\n'                   '16.7'                        1                      1.0                   266256
              '49.1'                'Y9, 1\n'                   '49.1'                        1                      1.0                   266257
             '-11.8'                '-11.8\n'                  '-11.8'                        1                      1.0                   266258
                 '7'                    '7\n'                      '7'                        1                      1.0                   266260
              '17.0'                '17.01\n'                   '17.0'                        1                      1.0                   266264
              '51.0'             '51,00\n4\n'                   '51.0'                        1                      1.0                   266265
                '10'                   '10\n'                     '10'                        1                      1.0                   266269
                 'x'                    'x\n'                      'x'                        1                        0                   266275
                 '4'                    '4\n'                      '4'                        1                      1.0                   266276
                 '7'                   '7.\n'                      '7'                        1                      1.0                   266277
                 'x'                    'X\n'                      'x'                        1                        0                   266279
                 '3'                    '3\n'                      '3'                        1                      1.0                   266280
                 'x'                    'x\n'                      'x'                        1                        0                   266283
                 '2'                    '2\n'                      '2'                        1                      1.0                   266284
                 '9'                    '9\n'                      '9'                        1                      1.0                   266286
                 '7'                    '7\n'                      '7'                        1                      1.0                   266500
              '16.6'                 '16.6\n'                   '16.6'                        1                      1.0                   266504
                 '3'                    '3\n'                      '3'                        1                      1.0                   266511
              '58.4'                '58,4.\n'                   '58.4'                        1                      1.0                   266513
                 'x'                    'x\n'                      'x'                        1                        0                   266531
                 '2'                    '2\n'                      '2'                        1                      1.0                   266536
                 '3'                    '3\n'                      '3'                        1                      1.0                   266537
                 '9'                    '9\n'                      '9'                        1                      1.0                   266538
                 'x'                    'x\n'                      'x'                        1                        0                   266539
              '14.3'                 '14,3\n'                   '14.3'                        1                      1.0                   266752
                 '8'                    '8\n'                      '8'                        1                      1.0                   266757
                 '8'                    '8\n'                      '8'                        1                      1.0                   266759
              '14.3'                 '14.3\n'                   '14.3'                        1                      1.0                   266760
              '66.4'                  '664\n'                   '66.4'                        1                      1.0                   266761
             '-15.0'                '- 150\n'                  '-15.0'                        1                      1.0                   266770
                 '3'                    '3\n'                      '3'                        1                      1.0                   266784
                 'x'                    'x\n'                      'x'                        1                        0                   266787
                 '2'                    '2\n'                      '2'                        1                      1.0                   266788
                 '4'                    '4\n'                      '4'                        1                      1.0                   266789
                 'x'                    'x\n'                      'x'                        1                        0                   266791
                 'x'                    'X\n'                      'x'                        1                        0                   266795
                 'x'                    'X\n'                      'x'                        1                        0                   266799
             '766.4'                '766,4\n'                  '766.4'                        1                      1.0                   267009
             '-13.2'                '-13.2\n'                  '-13.2'                        1                      1.0                   267010
              '17.0'             '+ 170\n+\n'                   '17.0'                        1                      1.0                   267016
              '67.2'               '67,2 ,\n'                   '67.2'                        1                      1.0                   267017
             '-10.0'                 '-100\n'                  '-10.0'                        1                      1.0                   267018
                 '1'                    '/\n'                      '1'                        1                      1.0                   267022
              '19.7'                 '19.7\n'                   '19.7'                        1                      1.0                   267024
              '20.0'                '+20,0\n'                   '20.0'                        1                      1.0                   267032
              '68.2'                 '68,2\n'                   '68.2'                        1                      1.0                   267033
                 '3'                    '3\n'                      '3'                        1                      1.0                   267040
                 '3'                    '3\n'                      '3'                        1                      1.0                   267045
                 'x'                    'x\n'                      'x'                        1                        0                   267047
                 '3'                    '3\n'                      '3'                        1                      1.0                   267048
                 '4'                    '4\n'                      '4'                        1                      1.0                   267049
             '-16.4'                '-16.4\n'                  '-16.4'                        1                      1.0                   267266
                 '2'                   '2.\n'                      '2'                        1                      1.0                   267270
                 '1'                    '1\n'                      '1'                        1                      1.0                   267271
             '-17.0'               '- 17,0\n'                  '-17.0'                        1                      1.0                   267274
                 '2'                    '2\n'                      '2'                        1                      1.0                   267278
              '67.6'                 '67.6\n'                   '67.6'                        1                      1.0                   267281
                 '2'                    '2\n'                      '2'                        1                      1.0                   267286
                 '2'                  '2..\n'                      '2'                        1                      1.0                   267294
                 '2'                    '2\n'                      '2'                        1                      1.0                   267308
                 '9'                    '9\n'                      '9'                        1                      1.0                   267310
                 'x'                    'x\n'                      'x'                        1                        0                   267311
              '14.0'                 '14,0\n'                   '14.0'                        1                      1.0                   267520
             '766.2'                '766.2\n'                  '766.2'                        1                      1.0                   267521
              '-9.4'                '- 9.4\n'                   '-9.4'                        1                      1.0                   267522
                 '7'                    '7\n'                      '7'                        1                      1.0                   267524
                '10'                   '10\n'                     '10'                        1                      1.0                   267527
              '12.5'                 '12,5\n'                   '12.5'                        1                      1.0                   267528
              '-7.6'                  '-76\n'                   '-7.6'                        1                      1.0                   267530
                 '7'                    '7\n'                      '7'                        1                      1.0                   267532
                 '2'                    '2\n'                      '2'                        1                      1.0                   267533
                 '4'                   '4.\n'                      '4'                        1                      1.0                   267535
              '16.0'                 '16,0\n'                   '16.0'                        1                      1.0                   267536
              '65.2'                  '652\n'                   '65.2'                        1                      1.0                   267537
              '19.3'                '+19,3\n'                   '19.3'                        1                      1.0                   267544
              '-7.0'                 '- 70\n'                   '-7.0'                        1                      1.0                   267546
                 '6'                    '6\n'                      '6'                        1                      1.0                   267552
                 'x'                    'x\n'                      'x'                        1                        0                   267554
                 '9'                    '9\n'                      '9'                        1                      1.0                   267556
                 'x'                    'x\n'                      'x'                        1                        0                   267558
                 '7'                    '7\n'                      '7'                        1                      1.0                   267560
                 'x'                    'x\n'                      'x'                        1                        0                   267562
                 'x'                    'X\n'                      'x'                        1                        0                   267566
             '763.0'                '763,0\n'                  '763.0'                        1                      1.0                   267777
                 '7'                    '7\n'                      '7'                        1                      1.0                   267780
              '63.5'                 '63,5\n'                   '63.5'                        1                      1.0                   267785
                 '7'                    '7\n'                      '7'                        1                      1.0                   267788
                '10'                   '10\n'                     '10'                        1                      1.0                   267791
                '10'                   'lo\n'                     '10'                        1                      1.0                   267797
                 'x'                    'x\n'                      'x'                        1                        0                   267811
                 '3'                    '3\n'                      '3'                        1                      1.0                   267812
                 'x'                    'x\n'                      'x'                        1                        0                   267815
                 '3'                    '3\n'                      '3'                        1                      1.0                   267816
                 'x'                    'x\n'                      'x'                        1                        0                   267819
                 'x'                 'x\n시\n'                      'x'                        1                        0                   267823
             '760.5'                '760,5\n'                  '760.5'                        1                      1.0                   268033
                 '7'                    'Z\n'                      '7'                        1                      1.0                   268036
              '13.0'              '13,0\n+\n'                   '13.0'                        1                      1.0                   268040
              '61.0'                 '61.0\n'                   '61.0'                        1                      1.0                   268041
                 '7'                    '7\n'                      '7'                        1                      1.0                   268044
              '13.0'                 '13,0\n'                   '13.0'                        1                      1.0                   268048
              '61.8'                 '61.8\n'                   '61.8'                        1                      1.0                   268049
                 '6'                    '6\n'                      '6'                        1                      1.0                   268052
                 '6'                    '6\n'                      '6'                        1                      1.0                   268060
                 '6'                    '6\n'                      '6'                        1                      1.0                   268064
                 '8'                    '8\n'                      '8'                        1                      1.0                   268068
                 'x'                    'x\n'                      'x'                        1                        0                   268075
                 '7'                    '7\n'                      '7'                        1                      1.0                   268076
              '11.0'                 '+110\n'                   '11.0'                        1                      1.0                   268288
                '10'                   '10\n'                     '10'                        1                      1.0                   268295
              '62.8'                 '62,8\n'                   '62.8'                        1                      1.0                   268297
                 '7'                    'Z\n'                      '7'                        1                      1.0                   268301
                 '7'                    '7\n'                      '7'                        1                      1.0                   268308
                '10'                   '10\n'                     '10'                        1                      1.0                   268309
                '10'                   '10\n'                     '10'                        1                      1.0                   268311
               '9.6'        '9.6\n6\ndana.\n'                    '9.6'                        1                      1.0                   268312
              '61.4'                '61.47\n'                   '61.4'                        1                      1.0                   268313
                '10'                   '10\n'                     '10'                        1                      1.0                   268317
                 '9'                    '9\n'                      '9'                        1                      1.0                   268322
                 'x'                    'X\n'                      'x'                        1                        0                   268323
                '10'                   '10\n'                     '10'                        1                      1.0                   268325
                '10'                   '10\n'                     '10'                        1                      1.0                   268329
                 '7'                    '7\n'                      '7'                        1                      1.0                   268332
               '7.6'                  '7.6\n'                    '7.6'                        1                      1.0                   268544
                 '7'                    'Z\n'                      '7'                        1                      1.0                   268548
                '10'                   '10\n'                     '10'                        1                      1.0                   268549
                '10'                   '10\n'                     '10'                        1                      1.0                   268551
               '3.6'                  '3.6\n'                    '3.6'                        1                      1.0                   268554
                '10'                   '10\n'                     '10'                        1                      1.0                   268557
              '11.3'                '+ 113\n'                   '11.3'                        1                      1.0                   268568
                 '7'                    '7\n'                      '7'                        1                      1.0                   268572
                 '8'                    '8\n'                      '8'                        1                      1.0                   268576
                 '7'                    '7\n'                      '7'                        1                      1.0                   268578
                 'x'                    'x\n'                      'x'                        1                        0                   268579
                 '8'                    '8\n'                      '8'                        1                      1.0                   268580
                 '7'                    '7\n'                      '7'                        1                      1.0                   268582
                 'x'                    'X\n'                      'x'                        1                        0                   268583
                 '7'                    '7\n'                      '7'                        1                      1.0                   268586
                 '7'                    '7\n'                      '7'                        1                      1.0                   268590
                 'x'                    'x\n'                      'x'                        1                        0                   268591
               '9.6'                  '9.6\n'                    '9.6'                        1                      1.0                   268800
             '740.4'                '740,4\n'                  '740.4'                        1                      1.0                   268801
                 '0'                    '0\n'                      '0'                        1                        0                   268804
              '12.0'                 '12,0\n'                   '12.0'                        1                      1.0                   268808
              '38.4'                 '38,4\n'                   '38.4'                        1                      1.0                   268809
                 '7'                   '7.\n'                      '7'                        1                      1.0                   268812
              '16.0'                  '160\n'                   '16.0'                        1                      1.0                   268816
              '40.7'                 '40,7\n'                   '40.7'                        1                      1.0                   268817
                 '6'                    '6\n'                      '6'                        1                      1.0                   268820
                 '2'                    '2\n'                      '2'                        1                      1.0                   268821
                 '2'                    '2\n'                      '2'                        1                      1.0                   268823
                 '6'                    '6\n'                      '6'                        1                      1.0                   268828
                 '8'                    '8\n'                      '8'                        1                      1.0                   268833
                 '3'                    '3\n'                      '3'                        1                      1.0                   268834
                 'x'                    'x\n'                      'x'                        1                        0                   268835
                 '3'                   '3.\n'                      '3'                        1                      1.0                   268837
                 '4'                    '4\n'                      '4'                        1                      1.0                   268838
                 'x'                    'x\n'                      'x'                        1                        0                   268839
                 '9'                    '9\n'                      '9'                        1                      1.0                   268846
             '744.5'               '744.57\n'                  '744.5'                        1                      1.0                   269057
                '10'                   '10\n'                     '10'                        1                      1.0                   269069
               '0.0'                  '0,0\n'                    '0.0'                        1                        0                   269074
                 '7'                    'Z\n'                      '7'                        1                      1.0                   269076
               '0.4'               '0,4\nt\n'                    '0.4'                        1                      1.0                   269082
                 '3'                    '3\n'                      '3'                        1                      1.0                   269088
                 'x'                    'x\n'                      'x'                        1                        0                   269091
                 '4'                    '4\n'                      '4'                        1                      1.0                   269092
                 '9'                    '9\n'                      '9'                        1                      1.0                   269094
                 'x'                    'X\n'                      'x'                        1                        0                   269095
                 '3'                    '3\n'                      '3'                        1                      1.0                   269100
                 'x'                    'x\n'                      'x'                        1                        0                   269103
              '15.3'                 '15,3\n'                   '15.3'                        1                      1.0                   269312
                 '4'                    '4\n'                      '4'                        1                      1.0                   269317
                 '6'                    '6\n'                      '6'                        1                      1.0                   269319
                 '5'                    'S\n'                      '5'                        1                      1.0                   269324
                 '2'                   '2.\n'                      '2'                        1                      1.0                   269325
                 '6'                    '6\n'                      '6'                        1                      1.0                   269327
              '14.0'                  '140\n'                   '14.0'                        1                      1.0                   269328
              '54.6'                 '54.6\n'                   '54.6'                        1                      1.0                   269329
                 '6'                    '6\n'                      '6'                        1                      1.0                   269332
                 '3'                    '3\n'                      '3'                        1                      1.0                   269333
                '10'                   '10\n'                     '10'                        1                      1.0                   269335
              '55.0'                  '550\n'                   '55.0'                        1                      1.0                   269337
                 '1'                    '1\n'                      '1'                        1                      1.0                   269343
                 '4'                    '4\n'                      '4'                        1                      1.0                   269344
                 '7'                    '7\n'                      '7'                        1                      1.0                   269345
                 '4'                    'y\n'                      '4'                        1                      1.0                   269348
                 '9'                   '9.\n'                      '9'                        1                      1.0                   269350
                 'x'                    'x\n'                      'x'                        1                        0                   269351
                 '2'                    '2\n'                      '2'                        1                      1.0                   269352
                 '3'                    '3\n'                      '3'                        1                      1.0                   269356
                 'x'                    'x\n'                      'x'                        1                        0                   269359
              '12.0'                 '12,0\n'                   '12.0'                        1                      1.0                   269568
              '-0.8'                 '-0.8\n'                   '-0.8'                        1                      1.0                   269570
                 '7'                    '7\n'                      '7'                        1                      1.0                   269572
                '10'                   '10\n'                     '10'                        1                      1.0                   269573
              '12.0'                 '12,0\n'                   '12.0'                        1                      1.0                   269576
              '51.2'                 '51.2\n'                   '51.2'                        1                      1.0                   269585
                 '3'                    '3\n'                      '3'                        1                      1.0                   269601
                 '3'                    '3\n'                      '3'                        1                      1.0                   269605
                 '3'                    '3\n'                      '3'                        1                      1.0                   269608
                 '5'                    'S\n'                      '5'                        1                      1.0                   269609
                 '5'                    '5\n'                      '5'                        1                      1.0                   269610
                 'x'                    'X\n'                      'x'                        1                        0                   269611
              '15.0'                 '+150\n'                   '15.0'                        1                      1.0                   269824
              '-7.6'                 '-7.6\n'                   '-7.6'                        1                      1.0                   269826
                 '6'                    '6\n'                      '6'                        1                      1.0                   269836
             '-56.0'                '- 560\n'                  '-56.0'                        1                      1.0                   269841
              '56.6'                 '56.6\n'                   '56.6'                        1                      1.0                   269849
              '-7.0'                  '-70\n'                   '-7.0'                        1                      1.0                   269850
                 '6'                    '6\n'                      '6'                        1                      1.0                   269852
                 '2'                    '2\n'                      '2'                        1                      1.0                   269856
                 '3'                    '3\n'                      '3'                        1                      1.0                   269857
                 '9'                    '9\n'                      '9'                        1                      1.0                   269858
                 '2'                   '2)\n'                      '2'                        1                      1.0                   269860
                 '3'                    '3\n'                      '3'                        1                      1.0                   269861
                 '2'                   '2.\n'                      '2'                        1                      1.0                   269868
                 '3'                    '3\n'                      '3'                        1                      1.0                   269869
                 'x'                    'x\n'                      'x'                        1                        0                   269871
              '14.0'                 '+140\n'                   '14.0'                        1                      1.0                   270336
             '763.9'                '763.9\n'                  '763.9'                        1                      1.0                   270337
                '10'                   '10\n'                     '10'                        1                      1.0                   270343
              '63.0'                '63,00\n'                   '63.0'                        1                      1.0                   270345
                 '7'                    '7\n'                      '7'                        1                      1.0                   270348
              '16.0'                 '160.\n'                   '16.0'                        1                      1.0                   270352
              '62.2'                '62,2.\n'                   '62.2'                        1                      1.0                   270353
                 '7'                    '7\n'                      '7'                        1                      1.0                   270356
                '10'                   '10\n'                     '10'                        1                      1.0                   270357
              '61.8'                 '61,8\n'                   '61.8'                        1                      1.0                   270361
                 '7'                    '7\n'                      '7'                        1                      1.0                   270364
                 '7'                    '7\n'                      '7'                        1                      1.0                   270369
                 '9'                    '9\n'                      '9'                        1                      1.0                   270370
                 '4'                    '4\n'                      '4'                        1                      1.0                   270372
                 'x'                    'x\n'                      'x'                        1                        0                   270379
              '13.0'                 '13.0\n'                   '13.0'                        1                      1.0                   270592
                '10'                   '10\n'                     '10'                        1                      1.0                   270599
              '54.0'                 '54,0\n'                   '54.0'                        1                      1.0                   270601
                '10'                   '10\n'                     '10'                        1                      1.0                   270605
                 '7'                    'z\n'                      '7'                        1                      1.0                   270612
                '10'                   '10\n'                     '10'                        1                      1.0                   270613
                '10'                   '10\n'                     '10'                        1                      1.0                   270615
                 '7'                    'Z\n'                      '7'                        1                      1.0                   270620
                '10'                   '10\n'                     '10'                        1                      1.0                   270621
                '10'                   '10\n'                     '10'                        1                      1.0                   270625
                 'x'                    'x\n'                      'x'                        1                        0                   270627
                 '7'                    '7\n'                      '7'                        1                      1.0                   270628
                 '7'                    '7\n'                      '7'                        1                      1.0                   270630
                 'x'                    'x\n'                      'x'                        1                        0                   270631
                 '6'                    '6\n'                      '6'                        1                      1.0                   270632
                 '7'                    '7\n'                      '7'                        1                      1.0                   270634
                 '6'                    '6\n'                      '6'                        1                      1.0                   270636
                 '7'                    '7\n'                      '7'                        1                      1.0                   270638
                 'x'                    'x\n'                      'x'                        1                        0                   270639
              '12.5'                 '12,5\n'                   '12.5'                        1                      1.0                   270848
             '746.2'                '746.2\n'                  '746.2'                        1                      1.0                   270849
                 '7'                    '7\n'                      '7'                        1                      1.0                   270852
                '10'                   '10\n'                     '10'                        1                      1.0                   270853
                 '7'                    '7\n'                      '7'                        1                      1.0                   270860
                '10'                   '10\n'                     '10'                        1                      1.0                   270861
              '49.0'                '49,0.\n'                   '49.0'                        1                      1.0                   270865
              '-0.6'                 '-0.6\n'                   '-0.6'                        1                      1.0                   270866
                 '7'                    '7\n'                      '7'                        1                      1.0                   270868
                '10'                   '10\n'                     '10'                        1                      1.0                   270869
                 '7'                    '7\n'                      '7'                        1                      1.0                   270876
                '10'                   '10\n'                     '10'                        1                      1.0                   270877
                '10'                   '10\n'                     '10'                        1                      1.0                   270879
                 'x'                    'x\n'                      'x'                        1                        0                   270883
                 '7'                    '7\n'                      '7'                        1                      1.0                   270884
                 '7'                    '7\n'                      '7'                        1                      1.0                   270886
                 'x'                    'x\n'                      'x'                        1                        0                   270887
                 '7'                   '7.\n'                      '7'                        1                      1.0                   270888
                 '7'                    '7\n'                      '7'                        1                      1.0                   270890
                 '7'                    '7\n'                      '7'                        1                      1.0                   270892
                 '7'                    '7\n'                      '7'                        1                      1.0                   270894
                 'x'                    'X\n'                      'x'                        1                        0                   270895
                '10'                   '10\n'                     '10'                        1                      1.0                   271109
              '14.0'                  '140\n'                   '14.0'                        1                      1.0                   271112
                 '5'                   'US\n'                      '5'                        1                      1.0                   271117
----------------------------------------------------------------- INCORRECT -----------------------------------------------------------------
               label                   before                    after                  partial                    abses                       ID
                 'x'                       ''                       ''                        0                        0                   263970
                 'x'                       ''                       ''                        0                        0                   263974
                 '9'                       ''                       ''                        0                        0                   263981
              '16.0'                       ''                       ''                        0                        0                   264192
              '-8.8'                  '818\n'                   '81.8'                     0.75       11.295454545454543                   264202
              '15.4'                 '+1.4\n'                    '1.4'                     0.75       1.9090909090909092                   264208
              '-8.1'                  '8,1\n'                    '8.1'                     0.75                      3.0                   264210
                 '7'                       ''                       ''                        0                        0                   264212
                '10'                   '20\n'                    '2.0'                      0.5                      1.8                   264215
              '45.6'                 'YSTC\n'                    '4.5'                     0.75        1.901315789473684                   264217
                 '4'                    'f\n'                       ''                        0                        0                   264221
                 '4'                       ''                       ''                        0                        0                   264223
                 '6'                  '16.\n'                    '1.6'                      1.0       1.7333333333333334                   264225
                 'x'                       ''                       ''                        0                        0                   264227
                 '1'                       ''                       ''                        0                        0                   264228
                 '1'                       ''                       ''                        0                        0                   264229
                 '5'                       ''                       ''                        0                        0                   264230
                 '1'                       ''                       ''                        0                        0                   264232
                 '1'                       ''                       ''                        0                        0                   264233
                 '9'                       ''                       ''                        0                        0                   264234
                 '1'                       ''                       ''                        0                        0                   264236
                 '1'                       ''                       ''                        0                        0                   264237
                 '9'                       ''                       ''                        0                        0                   264238
              '11.0'                 '-\n+\n'                      '-'                      0.0                        0                   264448
             '-11.0'                       ''                       ''                        0                        0                   264450
                 '1'                       ''                       ''                        0                        0                   264454
                 '1'                       ''                       ''                        0                        0                   264455
              '18.2'            '2\n+\n781\n'                  '278.1'                      1.0      -13.280219780219783                   264456
              '43.0'                 'Y5,0\n'                   '45.0'                     0.75       0.9534883720930233                   264457
              '-4.2'                  '4,2\n'                    '4.2'                     0.75                      3.0                   264458
                 '4'                    '닌\n'                       ''                        0                        0                   264461
                 '5'                    'ſ\n'                       ''                        0                        0                   264462
                 '1'                       ''                       ''                        0                        0                   264463
              '-4.0'                  '4.0\n'                    '4.0'                     0.75                      3.0                   264466
                '10'                'no\nd\n'                      '0'                      0.5                      2.0                   264469
                '10'                       ''                       ''                        0                        0                   264471
              '19.5'                 '+/9,\n'                    '1.9'                     0.75       1.9025641025641027                   264472
             '-41.7'            '-11.7\n41\n'                  '-11.7'                      1.0       1.7194244604316546                   264473
              '-3.0'                       ''                       ''                        0                        0                   264474
                '10'                  '097\n'                   '09.7'                      0.5                     1.03                   264479
                 '1'                       ''                       ''                        0                        0                   264480
                 '1'                       ''                       ''                        0                        0                   264481
                 '9'                       ''                       ''                        0                        0                   264482
                 'x'                       ''                       ''                        0                        0                   264483
